type,size,ocall,noenc,fullenc,baseline,
read,4,8072.000000,6557.000000,6669.000000,452.000000,
read,4,8112.000000,6557.000000,6483.000000,442.000000,
read,4,8092.000000,6699.000000,6475.000000,438.000000,
read,4,8080.000000,6355.000000,6508.000000,425.000000,
read,4,8068.000000,6744.000000,7264.000000,440.000000,
read,4,8086.000000,6398.000000,6378.000000,417.000000,
read,4,8116.000000,6331.000000,6669.000000,454.000000,
read,4,8128.000000,6764.000000,6493.000000,450.000000,
read,4,8085.000000,6605.000000,6800.000000,433.000000,
read,4,8084.000000,6348.000000,6601.000000,428.000000,
read,4,8110.000000,6575.000000,6591.000000,434.000000,
read,4,8085.000000,6419.000000,6472.000000,462.000000,
read,4,8075.000000,6339.000000,6548.000000,456.000000,
read,4,8083.000000,6453.000000,6492.000000,429.000000,
read,4,8121.000000,6498.000000,6615.000000,438.000000,
read,4,8060.000000,6707.000000,6506.000000,434.000000,
read,4,8062.000000,6514.000000,6550.000000,435.000000,
read,4,8096.000000,6568.000000,6500.000000,461.000000,
read,4,8091.000000,6731.000000,7028.000000,453.000000,
read,4,8053.000000,6448.000000,7142.000000,433.000000,
read,4,8074.000000,6291.000000,6489.000000,435.000000,
read,4,8081.000000,6350.000000,6656.000000,425.000000,
read,4,8082.000000,6404.000000,6617.000000,477.000000,
read,4,8080.000000,6630.000000,6492.000000,450.000000,
read,4,8101.000000,6748.000000,6526.000000,417.000000,
read,4,8086.000000,6777.000000,7180.000000,443.000000,
read,4,8074.000000,6626.000000,6495.000000,431.000000,
read,4,8074.000000,6566.000000,6619.000000,429.000000,
read,4,8093.000000,6334.000000,6604.000000,461.000000,
read,4,8073.000000,6426.000000,6533.000000,439.000000,
read,4,8071.000000,6361.000000,6594.000000,422.000000,
read,4,8061.000000,6781.000000,6530.000000,444.000000,
read,4,8078.000000,6709.000000,7206.000000,415.000000,
read,4,8121.000000,6377.000000,6460.000000,464.000000,
read,4,8086.000000,6629.000000,6674.000000,448.000000,
read,4,8043.000000,6687.000000,6476.000000,463.000000,
read,4,8100.000000,6842.000000,6649.000000,452.000000,
read,4,8089.000000,6371.000000,6603.000000,462.000000,
read,4,8090.000000,6624.000000,6454.000000,440.000000,
read,4,8085.000000,6475.000000,7304.000000,443.000000,
read,4,8291.000000,6827.000000,7044.000000,451.000000,
read,4,8059.000000,6383.000000,6477.000000,439.000000,
read,4,8053.000000,6394.000000,6677.000000,494.000000,
read,4,8080.000000,6597.000000,6687.000000,461.000000,
read,4,8096.000000,6502.000000,6585.000000,466.000000,
read,4,8092.000000,6701.000000,6842.000000,417.000000,
read,4,8088.000000,6422.000000,7127.000000,466.000000,
read,4,8124.000000,6660.000000,6806.000000,445.000000,
read,4,8074.000000,6444.000000,6691.000000,435.000000,
read,4,8087.000000,6359.000000,6515.000000,438.000000,
read,4,8087.000000,6598.000000,6588.000000,411.000000,
read,4,8077.000000,6767.000000,6623.000000,458.000000,
read,4,8076.000000,6452.000000,6480.000000,458.000000,
read,4,8078.000000,6644.000000,6516.000000,416.000000,
read,4,8058.000000,6673.000000,6847.000000,450.000000,
read,4,8068.000000,6838.000000,7008.000000,416.000000,
read,4,8112.000000,6405.000000,7351.000000,440.000000,
read,4,8079.000000,6575.000000,6495.000000,454.000000,
read,4,8080.000000,6707.000000,6632.000000,468.000000,
read,4,8080.000000,6655.000000,6550.000000,436.000000,
read,4,8103.000000,6654.000000,7078.000000,450.000000,
read,4,8056.000000,6528.000000,6530.000000,422.000000,
read,4,8078.000000,6564.000000,6524.000000,459.000000,
read,4,8089.000000,6478.000000,6651.000000,408.000000,
read,4,8082.000000,6398.000000,6651.000000,459.000000,
read,4,8080.000000,6423.000000,6522.000000,420.000000,
read,4,8049.000000,6418.000000,6535.000000,443.000000,
read,4,8063.000000,6394.000000,6525.000000,436.000000,
read,4,8083.000000,6531.000000,6662.000000,429.000000,
read,4,8076.000000,6837.000000,6462.000000,459.000000,
read,4,8073.000000,6448.000000,6743.000000,456.000000,
read,4,8093.000000,6583.000000,6600.000000,428.000000,
read,4,8111.000000,6942.000000,6759.000000,431.000000,
read,4,8087.000000,7092.000000,6495.000000,432.000000,
read,4,8062.000000,6899.000000,7070.000000,474.000000,
read,4,8080.000000,6490.000000,6722.000000,464.000000,
read,4,8059.000000,6709.000000,6613.000000,449.000000,
read,4,8085.000000,6760.000000,6683.000000,466.000000,
read,4,8090.000000,6771.000000,6492.000000,433.000000,
read,4,8104.000000,6613.000000,6494.000000,432.000000,
read,4,8094.000000,6713.000000,6584.000000,453.000000,
read,4,8094.000000,6379.000000,6645.000000,457.000000,
read,4,8073.000000,6362.000000,6740.000000,441.000000,
read,4,8102.000000,6751.000000,9026.000000,438.000000,
read,4,8066.000000,6582.000000,6510.000000,449.000000,
read,4,8074.000000,6936.000000,6655.000000,453.000000,
read,4,8074.000000,6324.000000,6497.000000,451.000000,
read,4,8092.000000,6602.000000,7081.000000,445.000000,
read,4,8085.000000,6640.000000,7120.000000,454.000000,
read,4,8048.000000,6690.000000,6583.000000,434.000000,
read,4,8093.000000,6905.000000,6701.000000,419.000000,
read,4,8088.000000,6401.000000,6486.000000,467.000000,
read,4,8078.000000,6417.000000,6609.000000,448.000000,
read,4,8050.000000,6499.000000,6627.000000,437.000000,
read,4,8086.000000,6819.000000,6635.000000,429.000000,
read,4,8111.000000,6472.000000,6514.000000,438.000000,
read,4,8069.000000,6648.000000,6620.000000,458.000000,
read,4,8072.000000,6623.000000,6589.000000,434.000000,
read,4,8102.000000,6840.000000,6616.000000,433.000000,
read,4,8104.000000,6576.000000,6565.000000,453.000000,
read,4,8067.000000,6427.000000,6500.000000,418.000000,
read,4,8079.000000,6426.000000,6655.000000,455.000000,
read,4,8101.000000,6599.000000,7021.000000,458.000000,
read,4,8115.000000,6449.000000,6625.000000,430.000000,
read,4,8100.000000,6543.000000,6881.000000,435.000000,
read,4,8062.000000,6373.000000,6656.000000,405.000000,
